cellnames,ttype
20190603_sample_7,Lamp5
20190603_sample_9,Sncg
20190603_sample_10,Vip
20190604_sample_2,Pvalb
20190604_sample_4,Lamp5
20190604_sample_6,Lamp5
20190604_sample_8,Pvalb
20190604_sample_12,IT
20190605_sample_2,Vip
20190605_sample_4,Vip
20190605_sample_5,Lamp5
20190605_sample_6,Vip
20190606_sample_1,Pvalb
20190606_sample_2,Pvalb
20190606_sample_3,Pvalb
20190606_sample_5,Pvalb
20190606_sample_6,IT
20190606_sample_9,Sst
20190607_sample_2,Sst
20190607_sample_3,Lamp5
20190610_sample_1,Sst
20190610_sample_2,Pvalb
20190610_sample_3,Lamp5
20190610_sample_4,Pvalb
20190610_sample_8,Pvalb
20190610_sample_9,Lamp5
20190610_sample_10,Pvalb
20190610_sample_12,Pvalb
20190610_sample_16,Lamp5
20190610_sample_18,Vip
20190611_sample_1,IT
20190611_sample_3,Lamp5
20190611_sample_4,Sst
20190611_sample_7,Lamp5
20190611_sample_8,Sst
20190611_sample_10,Sst
20190611_sample_11,IT
20190611_sample_14,Sncg
20190611_sample_15,Lamp5
20190612_sample_1,Lamp5
20190612_sample_2,Pvalb
20190612_sample_4,Vip
20190612_sample_6,Pvalb
20190612_sample_7,Lamp5
20190612_sample_8,Lamp5
20190613_sample_2,Sst
20190613_sample_3,Sst
20190613_sample_4,Sst
20190613_sample_6,Pvalb
20190613_sample_7,Sst
20190613_sample_8,Pvalb
20190613_sample_9,Sst
20190613_sample_10,Sst
20190614_sample_2,Vip
20190614_sample_3,Lamp5
20190614_sample_4,Vip
20190614_sample_6,Vip
20190614_sample_8,Vip
20190617_sample_1,Lamp5
20190617_sample_2,CT
20190617_sample_3,Sst
20190617_sample_4,Sst
20190617_sample_5,Sncg
20190617_sample_6,Sst
20190618_sample_2,Vip
20190618_sample_4,Vip
20190618_sample_5,Vip
20190618_sample_7,Lamp5
20190618_sample_8,Lamp5
20190619_sample_1,Lamp5
20190619_sample_3,Pvalb
20190619_sample_4,Pvalb
20190619_sample_5,Pvalb
20190619_sample_6,Lamp5
20190620_sample_1,Lamp5
20190620_sample_2,Sst
20190620_sample_5,Sst
20190620_sample_6,Sst
20190620_sample_8,Pvalb
20190624_sample_1,Sst
20190624_sample_2,Sst
20190624_sample_3,Sst
20190624_sample_4,Pvalb
20190624_sample_5,Sst
20190624_sample_6,Sst
20190625_sample_1,Vip
20190625_sample_3,Vip
20190625_sample_4,Vip
20190625_sample_5,Vip
20190625_sample_6,Lamp5
20190625_sample_7,Vip
20190625_sample_8,Vip
20190625_sample_10,Vip
20190625_sample_11,Vip
20190625_sample_12,Vip
20190625_sample_13,Vip
20190626_sample_1,Vip
20190626_sample_5,Vip
20190627_sample_1,CT
20190627_sample_2,Lamp5
20190627_sample_4,NP
20190627_sample_6,Pvalb
20190627_sample_8,IT
20190628_sample_1,Sst
20190628_sample_2,Pvalb
20190628_sample_3,Sst
20190628_sample_4,Sst
20190628_sample_5,Sst
20190628_sample_6,Pvalb
20190628_sample_7,Sst
20190703_sample_1,Pvalb
20190703_sample_2,Pvalb
20190703_sample_3,Pvalb
20190703_sample_5,Pvalb
20190703_sample_6,Pvalb
20190703_sample_8,Pvalb
20190703_sample_10,Pvalb
20190703_sample_12,Pvalb
20190703_sample_13,Sst
20190703_sample_15,Sst
20190704_sample_2,Sst
20190704_sample_12,Vip
20190704_sample_14,Vip
20190705_sample_1,Vip
20190705_sample_3,Vip
20190705_sample_4,Vip
20190705_sample_5,Vip
20190705_sample_9,Vip
20190708_sample_4,Pvalb
20190708_sample_6,Vip
20190708_sample_7,Vip
20190708_sample_8,IT
20190708_sample_12,Vip
20190709_sample_1,Vip
20190709_sample_2,Vip
20190709_sample_3,Vip
20190709_sample_8,Sncg
20190709_sample_10,Vip
20190709_sample_11,Vip
20190709_sample_12,Vip
20190709_sample_13,Vip
20190709_sample_14,Vip
20190710_sample_3,Sst
20190710_sample_4,Sst
20190710_sample_5,Sst
20190710_sample_6,Sst
20190710_sample_8,Vip
20190710_sample_10,Vip
20190712_sample_1,CT
20190712_sample_3,Sst
20190712_sample_5,Lamp5
20190712_sample_6,Lamp5
20190712_sample_7,Lamp5
20190715_sample_1,Lamp5
20190715_sample_4,Lamp5
20190715_sample_5,Vip
20190715_sample_6,Lamp5
20190715_sample_7,Vip
20190715_sample_8,Lamp5
20190715_sample_9,Vip
20190715_sample_10,Sncg
20190715_sample_11,Lamp5
20190716_sample_3,Sst
20190716_sample_5,Sst
20190716_sample_7,Vip
20190716_sample_8,Lamp5
20190716_sample_9,Vip
20190717_sample_1,Sst
20190717_sample_2,Sst
20190717_sample_3,Sst
20190718_sample_1,Vip
20190718_sample_2,CT
20190718_sample_3,CT
20190718_sample_4,Vip
20190718_sample_5,Vip
20190718_sample_6,Vip
20190718_sample_7,Vip
20190718_sample_8,Vip
20190718_sample_9,Vip
20190719_sample_1,CT
20190719_sample_2,IT
20190719_sample_4,IT
20190719_sample_5,IT
20190719_sample_6,IT
20190719_sample_9,IT
20190719_sample_10,IT
20190722_sample_1,CT
20190722_sample_6,CT
20190724_sample_1,Vip
20190724_sample_2,CT
20190724_sample_4,Vip
20190724_sample_5,Vip
20190724_sample_6,IT
20190724_sample_9,Vip
20190724_sample_10,Vip
20190724_sample_12,Vip
20190725_sample_1,Vip
20190725_sample_3,Vip
20190725_sample_4,Sst
20190725_sample_5,CT
20190725_sample_6,Vip
20190725_sample_7,Vip
20190725_sample_8,Vip
20190725_sample_9,Vip
20190726_sample_1,Lamp5
20190726_sample_2,Pvalb
20190726_sample_3,Lamp5
20190726_sample_4,IT
20190726_sample_5,Lamp5
20190726_sample_6,Sst
20190726_sample_7,Lamp5
20190729_sample_2,Sst
20190729_sample_3,Sst
20190729_sample_5,Pvalb
20190730_sample_1,Vip
20190730_sample_2,Vip
20190730_sample_5,Vip
20190730_sample_6,Vip
20190730_sample_7,Vip
20190730_sample_9,Lamp5
20190731_sample_1,Pvalb
